trial,left,right,pair
1,Pernille,Sisse,PS
2,Line,Sisse,SL
3,Pernille,Line,PL
4,Line,Sisse,SL
5,Pernille,Line,PL
6,Pernille,Sisse,PS
7,Line,Pernille,PL
8,Sisse,Line,SL
9,Line,Pernille,PL
10,Line,Sisse,SL
11,Pernille,Sisse,PS
12,Sisse,Line,SL
13,Line,Pernille,PL
14,Line,Sisse,SL
15,Sisse,Pernille,PS
16,Sisse,Line,SL
17,Sisse,Pernille,PS
18,Sisse,Line,SL
19,Sisse,Pernille,PS
20,Pernille,Line,PL
