trial,left,right,pair
1,Obj_01,Obj_02,01-02
2,Obj_02,Obj_01,01-02
3,Obj_01,Obj_03,01-03
4,Obj_03,Obj_02,02-03
5,Obj_02,Obj_01,01-02
6,Obj_01,Obj_03,01-03
7,Obj_03,Obj_02,02-03
8,Obj_02,Obj_01,01-02
9,Obj_01,Obj_03,01-03
10,Obj_03,Obj_02,02-03
11,Obj_02,Obj_01,01-02
12,Obj_01,Obj_03,01-03
13,Obj_03,Obj_02,02-03
14,Obj_02,Obj_01,01-02
15,Obj_01,Obj_03,01-03
16,Obj_03,Obj_02,02-03
17,Obj_02,Obj_01,01-02
18,Obj_01,Obj_03,01-03
19,Obj_03,Obj_02,02-03
20,Obj_02,Obj_01,01-02
