trial,left,right,pair
1,Obj_05,Obj_07,05-07
2,Obj_02,Obj_09,02-09
3,Obj_13,Obj_03,03-13
4,Obj_16,Obj_09,09-16
5,Obj_10,Obj_05,05-10
6,Obj_09,Obj_11,09-11
7,Obj_13,Obj_15,13-15
8,Obj_05,Obj_06,05-06
9,Obj_01,Obj_14,01-14
10,Obj_15,Obj_12,12-15
11,Obj_04,Obj_01,01-04
12,Obj_11,Obj_10,10-11
13,Obj_12,Obj_01,01-12
14,Obj_07,Obj_16,07-16
15,Obj_06,Obj_13,06-13
16,Obj_01,Obj_02,01-02
17,Obj_09,Obj_08,08-09
18,Obj_03,Obj_04,03-04
19,Obj_08,Obj_13,08-13
20,Obj_14,Obj_05,05-14
